WISEA J145805.96+085530.0,224.52498,8.92503,QSO,3.066
WISEA J152117.58+175601.1,230.32326,17.93364,QSO,3.06
WISEA J113144.31+543058.3,172.9346,54.51624,QSO,3.05625
WISEA J123431.68+645556.4,188.63222,64.93237,QSO,3.050048
WISEA J141919.56+075930.4,214.83161,7.99185,*,3.0495
WISEA J100236.70+191608.6,150.65282,19.26906,*,3.043825
FBQS J112851.6+232617,172.2154,23.43815,QSO,3.04
B3 1147+438,177.56918,43.53497,QSO,3.037
WISEA J110727.49+574203.0,166.8642,57.70085,QSO,3.035395
SDSS J083910.89+200207.3,129.79541,20.03537,QSO,3.03497
WISE J080518.15+614424.0,121.32575,61.73992,QSO,3.033
WISEA J132602.33+065751.8,201.50971,6.96439,QSO,3.020518
SDSS J082355.81+413810.1,125.98257,41.63616,*,3.016409
WISEA J091857.64+533220.1,139.74032,53.53889,QSO,3.014052
WISEA J142921.87+540611.2,217.34116,54.10309,QSO,3.0134
WISEA J073357.44+045614.6,113.48942,4.93736,QSO,3.01
FBQS J132255.6+391207,200.73193,39.20221,QSO,2.992436
SSTSL2 J074729.35+365438.3,116.87242,36.91058,QSO,2.992
B2 0743+25,116.60781,25.81726,QSO,2.987498
[HB89] 0830+115,128.30986,11.3934,QSO,2.985465
WISEA J104406.35+295900.9,161.02643,29.98361,QSO,2.978893
WISEA J120503.17+425957.9,181.26315,42.99945,QSO,2.960236
WISEA J080458.14+494844.3,121.24227,49.81227,*,2.9591
WISEA J153324.85+070451.6,233.3535,7.08092,*,2.959007
WISEA J100301.71+145924.1,150.75699,14.98987,*,2.955243
B2 0730+27A,113.33538,27.35098,QSO,2.941075
B2 0955+39B,149.73701,39.37518,QSO,2.941
WISEA J075209.66+580852.4,118.04032,58.14785,QSO,2.94
B2 1233+24,189.01633,24.41194,QSO,2.9388
4C +46.16,116.93159,46.31601,G,2.926
WISEA J093238.36+104326.6,143.15987,10.72403,*,2.922693
WISEA J131341.66+102714.2,198.42354,10.454,QSO,2.920668
WISEA J130941.54+404757.4,197.42296,40.79922,QSO,2.916622
[HB89] 0941+261,146.17633,25.91203,QSO,2.915534
FBQS J142950.8+260750,217.46215,26.13064,QSO,2.914213
SDSS J110207.43+161431.9,165.531,16.24222,*,2.911719
B3 1401+392,210.94876,39.04736,*,2.905
WISEA J165621.65+415524.6,254.09022,41.92347,QSO,2.89779
B2 0931+31,143.69685,30.8489,QSO,2.89475
[HB89] 1124+571,171.91723,56.83744,QSO,2.89
WISEA J083436.22+481715.6,128.65089,48.28776,QSO,2.885451
WISEA J140432.99+072847.1,211.13747,7.47971,QSO,2.884982
WISEA J154827.90+073811.2,237.11638,7.63653,QSO,2.883282
WISEA J133029.40+495427.6,202.62245,49.90763,QSO,2.880894
WISEA J100409.35+120256.6,151.03897,12.04905,QSO,2.880582
WISEA J073552.73+203639.1,113.96976,20.61079,*,2.879465
[HB89] 0805+046,121.98974,4.54293,QSO,2.877
[HB89] 0932+367,143.88267,36.55488,QSO,2.858977
WISEA J164612.72+153659.3,251.5525,15.61653,RadioS,2.855486
[HB89] 1602+576,240.98305,57.51511,QSO,2.85
3C 308,223.53467,50.05861,QSO,2.849
WISEA J170407.45+013408.3,256.0312,1.56902,QSO,2.842
WISEA J090536.06+355551.7,136.40027,35.93102,QSO,2.840325
B3 1546+406,237.04736,40.52407,QSO,2.836075
WISEA J150424.11+081339.6,226.1005,8.22767,QSO,2.832
WISEA J105726.60+032448.1,164.36093,3.41336,QSO,2.83183
WISEA J102645.67+195509.5,156.69019,19.9191,QSO,2.82398
WISEA J152821.66+531030.4,232.0903,53.17512,QSO,2.82151
WISEA J102846.99+412656.0,157.19567,41.44909,QSO,2.82
[HB89] 1641+406,250.71854,40.5074,QSO,2.82
WISEA J152043.60+473249.3,230.18167,47.54703,QSO,2.814523
WISEA J161429.55+174208.9,243.62321,17.70247,QSO,2.8098
SDSS J100853.41+244031.0,152.22257,24.6753,QSO,2.8049
WISEA J083221.85+313518.6,128.09107,31.58849,G,2.803606
WISEA J163308.57+570254.6,248.28537,57.04883,QSO,2.802
WISEA J101725.87+611627.7,154.35786,61.2743,QSO,2.800565
WISEA J082328.62+061146.1,125.86925,6.19614,QSO,2.792327
SDSS J090655.85+001446.4,136.73274,0.24624,*,2.786108
WISEA J144346.26+564545.8,220.94279,56.76275,QSO,2.769169
SDSS J104941.09+133255.6,162.42124,13.5488,QSO,2.767323
WISEA J125858.61+325738.4,194.74418,32.9606,VisS,2.755
SDSS J133825.25+250125.9,204.60524,25.02386,*,2.755
B3 0724+396,112.04292,39.50778,QSO,2.753
B2 0908+25A,137.73015,25.65597,QSO,2.752965
B3 1551+408,238.31569,40.65745,QSO,2.752871
B2 1045+27,162.12588,26.96898,QSO,2.75202
WISEA J074129.74+255732.3,115.37392,25.95896,QSO,2.7425
WISEA J112653.13+062557.0,171.72144,6.43248,VisS,2.741399
WISEA J093523.26+240512.5,143.84697,24.08676,QSO,2.740888
WISEA J115116.93+400822.7,177.82054,40.1395,QSO,2.74
WISEA J154759.06+420856.0,236.99601,42.14877,QSO,2.739493
4C +52.25,181.15333,52.47827,QSO,2.735932
WISEA J144537.50+184443.3,221.40633,18.74542,*,2.733303
[HB89] 1455+348,224.48876,34.664,QSO,2.732
WISEA J134637.45+290043.3,206.656,29.01178,QSO,2.721
WISEA J101435.25+040852.2,153.64687,4.14787,*,2.717892
WISEA J081423.75+195903.1,123.599,19.98435,*,2.715
B2 1018+32,155.41468,32.46058,QSO,2.715
WISEA J114908.90+282435.2,177.28711,28.40969,VisS,2.715
WISEA J122521.36+033945.2,186.33905,3.66257,QSO,2.715
WISEA J124206.57+370138.6,190.52742,37.02748,QSO,2.71037
WISEA J150513.14+065433.7,226.30471,6.90933,*,2.7101
[HB89] 1004+141,151.92291,13.94156,QSO,2.707
WISEA J115249.18+181847.2,178.20496,18.31301,QSO,2.706699
WISEA J083301.61+353133.4,128.25691,35.52602,QSO,2.703101
WISEA J091724.23+310451.3,139.35106,31.08107,QSO,2.698157
WISEA J090527.46+485049.9,136.36443,48.84721,QSO,2.696567
WISEA J160757.62+073901.7,241.99021,7.65058,*,2.695894
WISEA J135549.05+245257.6,208.95448,24.88265,*,2.695
WISEA J145554.12+443137.5,223.97557,44.52713,QSO,2.688807
[HB89] 0730+257,113.2866,25.60696,QSO,2.686
FBQS J163221.0+264353,248.08773,26.73151,QSO,2.683038
SDSS J155538.83+110643.5,238.91182,11.1121,QSO,2.6764
[HB89] 0758+120,120.25202,11.88989,QSO,2.67163
SDSS J083542.90+070157.9,128.92876,7.03277,*,2.670567
WISEA J160523.73+303836.9,241.34875,30.64367,QSO,2.67
SDSS J091042.12+224835.5,137.67555,22.80988,QSO,2.661
SDSS J104257.58+074850.5,160.73995,7.81404,QSO,2.660536
B2 1600+26,240.53501,26.17294,VisS,2.6602
WISEA J113017.38+073213.1,172.57243,7.53695,QSO,2.659036
WISEA J132905.78+500926.4,202.27418,50.15733,QSO,2.654
WISEA J122909.65+093810.0,187.29017,9.63614,QSO,2.653978
[HB89] 1214+348,184.31337,34.59385,QSO,2.651363
FBQS J104229.1+381111,160.62158,38.18647,QSO,2.644243
WISEA J113720.82+293539.0,174.337,29.59419,QSO,2.644
WISEA J100727.77+173354.8,151.86577,17.56522,QSO,2.6429
SBS 1116+603,169.80977,60.08256,QSO,2.641459
FBQS J101302.2+352605,153.25959,35.43492,QSO,2.637659
WISE J144431.77+025753.6,221.13237,2.96486,*,2.625
WISEA J155228.79+155652.2,238.11997,15.94803,*,2.625
PKS 0742+10,116.38775,10.18686,G,2.624
WISEA J105858.57+044347.9,164.74408,4.72994,QSO,2.622423
WISEA J095414.77+610455.1,148.56157,61.08201,QSO,2.62173
B2 0811+39,123.62786,38.97678,G,2.621
4C +29.28,124.27455,29.30358,QSO,2.617
WISEA J131046.57+622909.1,197.694,62.48585,QSO,2.61342
WISEA J082107.61+310751.1,125.28172,31.13087,QSO,2.613373
WISEA J094759.43+632803.2,146.99757,63.46753,QSO,2.611597
WISEA J145031.16+091028.1,222.62987,9.17443,QSO,2.611
WISEA J082428.01+234108.1,126.11676,23.68554,QSO,2.61084
WISEA J123223.16+195946.1,188.09654,19.99608,QSO,2.6096
FBQS J121732.5+330538,184.38558,33.09389,QSO,2.606
SDSS J164155.72+511546.8,250.4822,51.26301,*,2.605
WISEA J095930.64+264549.3,149.87794,26.76394,QSO,2.60162
WISEA J134224.30+511012.5,205.60131,51.17012,QSO,2.59851
2MASS J14391201+1117407,219.80018,11.2946,QSO,2.591847
WISEA J093041.18+185958.8,142.67162,18.9997,*,2.585
WISEA J093415.73+490821.3,143.56568,49.13937,QSO,2.582
WISEA J110903.88+202857.3,167.26619,20.48267,QSO,2.5812
[HB89] 1705+018,256.8934,1.81269,QSO,2.568
WISEA J140653.85+343337.4,211.72436,34.56036,QSO,2.56308
B3 0908+416B,138.04839,41.43593,QSO,2.563
WISEA J133923.77+632858.4,204.8491,63.4829,QSO,2.561928
WISEA J153514.64+483659.7,233.81106,48.61658,QSO,2.560951
SDSS J161729.46+514020.3,244.37277,51.67234,QSO,2.5583
WISEA J104206.73+293827.2,160.52804,29.64083,QSO,2.557313
B3 0737+380,115.09448,37.93437,*,2.556089
WISE J121711.01+583526.2,184.29591,58.59062,QSO,2.551461
WISEA J140048.45+042530.9,210.20185,4.42524,QSO,2.55
[HB89] 1624+416,246.49029,41.57795,QSO,2.55
WISEA J165634.11+182626.2,254.14204,18.44065,QSO,2.545936
WISEA J153925.08+160400.1,234.85458,16.06676,QSO,2.5424
SSTSL2 J111506.84+501623.4,168.77883,50.2735,QSO,2.54
WISEA J154125.45+534813.0,235.3561,53.80362,QSO,2.538676
B3 1343+451,206.38822,44.88321,QSO,2.534
WISEA J133153.90+060823.1,202.97457,6.13983,VisS,2.5332
B2 1600+24,240.55252,24.16961,QSO,2.530514
WISEA J145039.66+365309.7,222.66533,36.88603,*,2.524359
WISEA J094556.06+601233.1,146.48354,60.20914,QSO,2.52242
[HB89] 1048+347,162.74218,34.50304,QSO,2.52
WISEA J172339.74+523648.3,260.91561,52.61344,QSO,2.519
[HB89] 1705+188,256.97395,18.77751,QSO,2.518
FBQS J1540+4138,235.1791,41.63797,QSO,2.517967
WISEA J110344.53+023209.9,165.93558,2.53611,QSO,2.517125
B2 1210+33,183.26593,32.7936,QSO,2.516233
SDSS J075628.24+371455.6,119.11771,37.24879,QSO,2.514914
WISEA J124623.71+010402.4,191.59886,1.06732,QSO,2.51
FBQS J0955+3335,148.90808,33.58443,QSO,2.507978
WISEA J081026.42+101041.0,122.6101,10.17805,QSO,2.5059
WISEA J081703.11+162259.8,124.26295,16.38328,*,2.505
WISEA J074447.29+212000.4,116.19697,21.33347,QSO,2.504689
B3 0727+409,112.71394,40.83078,QSO,2.5
B3 1051+459,163.63367,45.69775,QSO,2.5
WISEA J092035.79+002330.7,140.14917,0.39186,QSO,2.493972
B2 0935+39,144.6632,39.57225,QSO,2.493
[HB89] 0747+613,118.05003,61.20645,QSO,2.492
SDSS J092305.22+354244.6,140.77204,35.71258,RadioS,2.49104
B2 1229+34,188.0531,33.92818,QSO,2.482536
4C +16.24,117.76639,16.34296,QSO,2.47858
WISEA J162329.91+504307.5,245.87466,50.71882,QSO,2.4777
WISEA J102201.26+500256.7,155.50503,50.04943,VisS,2.475
FBQS J1348+2840,207.01797,28.67374,QSO,2.47438
[HB89] 1313+200,199.10237,19.78457,QSO,2.47
WISEA J075813.12+524451.3,119.55472,52.74758,*,2.465
B3 1100+414,165.93173,41.21895,QSO,2.465
B2 1404+35,211.57548,35.65619,*,2.465
B3 1525+476,231.85242,47.52778,*,2.465
B2 1600+36,240.55452,35.93031,*,2.465
B3 1251+468,193.33505,46.56391,QSO,2.463236
FBQS J161602.5+302339,244.01074,30.3944,QSO,2.460282
WISEA J072703.09+484410.4,111.76292,48.73615,QSO,2.46
B3 1336+397A,204.56858,39.47498,*,2.458074
SDSS J153124.07+075431.1,232.8503,7.90865,QSO,2.45545
WISEA J101614.26+520915.5,154.05941,52.15429,QSO,2.455
[HB89] 1333+459,203.84151,45.71062,QSO,2.45483
[HB89] 1701+379,255.78218,37.85732,QSO,2.45
WISEA J161444.82+253621.4,243.68686,25.60603,QSO,2.447618
B2 1300+39,195.70065,39.50057,QSO,2.44209
[HB89] 0759+341,120.69099,33.98945,QSO,2.44
WISEA J115923.73+015223.8,179.84878,1.87333,QSO,2.44
WISEA J103532.58+423018.9,158.88574,42.50527,QSO,2.43829
WISEA J163354.57+153459.8,248.47739,15.58335,QSO,2.436139
B2 0738+27,115.35722,27.11261,VisS,2.435
SDSS J103739.33+042401.7,159.41391,4.40048,*,2.435
WISEA J110856.00+071102.9,167.23337,7.18414,*,2.435
WISEA J112405.96+183654.7,171.02488,18.61519,*,2.435
B2 1244+27B,191.78762,27.68969,*,2.435
WISEA J132949.14+394933.0,202.45471,39.82586,*,2.435
WISEA J133920.22+520617.3,204.8343,52.10483,*,2.435
[HB89] 1726+344,261.95788,34.37769,QSO,2.43
[HB89] 0812+332,123.89235,33.09138,QSO,2.427944
WISEA J083249.39+155408.6,128.20582,15.9024,QSO,2.427355
WISEA J134519.81+573319.8,206.33227,57.5557,*,2.425
B3 0859+433,135.62883,43.1706,QSO,2.41
[HB89] 0755+147,119.58968,14.62195,QSO,2.407814
B2 1505+24,226.94667,24.57444,QSO,2.40756
LQAC 256+011 001,256.88533,11.36686,QSO,2.406
WISEA J151401.57+505429.4,228.50665,50.90821,*,2.405
[HB89] 1558+187,240.07076,18.64168,QSO,2.404757
WISEA J160533.05+300129.8,241.3877,30.02492,QSO,2.404
B2 1436+37B,219.72338,37.1765,QSO,2.401
SDSS J074616.66+180719.6,116.56944,18.12213,*,2.395
WISEA J083649.25+114702.6,129.20511,11.78403,*,2.395
WISEA J121414.58+163154.4,183.56074,16.53188,*,2.395
WISEA J160104.12+170700.4,240.26721,17.11683,*,2.395
WISEA J164452.42+181317.2,251.21847,18.22145,VisS,2.395
[HB89] 1055+499,164.55438,49.66004,QSO,2.393551
WISEA J151129.55+491637.3,227.87312,49.27709,QSO,2.393426
WISEA J100515.95+480533.4,151.31662,48.09256,QSO,2.390935
WISEA J113850.82+042839.4,174.71183,4.47767,*,2.382286
SDSS J163039.12+630143.0,247.66301,63.02863,QSO,2.3806
WISE J164558.54+633010.8,251.49397,63.50303,QSO,2.379
B2 0759+29,120.70175,29.29289,QSO,2.378559
